Year,AvgNASDelayPercentage
2003,29.686276314267346
2004,18.24570061769958
2005,16.63868805373129
2006,18.119312329937703
2007,30.625925917941924
2008,30.16552562594132
2009,37.63093330628511
2010,33.87351363404217
